dt,dt_loc
2018-12-30T00:00:00Z,2018-12-29 18:00:00
2018-12-30T06:00:00Z,2018-12-30 00:00:00
2018-12-30T12:00:00Z,2018-12-30 06:00:00
2018-12-30T18:00:00Z,2018-12-30 12:00:00
2018-12-31T00:00:00Z,2018-12-30 18:00:00
2018-12-31T06:00:00Z,2018-12-31 00:00:00
2018-12-31T12:00:00Z,2018-12-31 06:00:00
2018-12-31T18:00:00Z,2018-12-31 12:00:00
2019-01-01T00:00:00Z,2018-12-31 18:00:00
2019-01-01T06:00:00Z,2019-01-01 00:00:00
2019-01-01T12:00:00Z,2019-01-01 06:00:00
2019-01-01T18:00:00Z,2019-01-01 12:00:00
2019-01-02T00:00:00Z,2019-01-01 18:00:00
